Country or Area,Internet User,Pop,Rank,Percentage,Rank,Internet Users,Population
China,"765,367,947","1,409,517,397",1,54.30%,116,765367947,1409517397
India,"461,347,554","1,339,180,127",2,34.45%,145,461347554,1339180127
United States,"244,090,854","324,459,463",3,75.23%,68,244090854,324459463
Brazil,"141,206,801","209,288,278",4,67.47%,83,141206801,209288278
Japan,"115,845,120","127,484,450",5,90.87%,23,115845120,127484450
Russia,"109,446,612","143,989,754",6,76.01%,64,109446612,143989754
Indonesia,"85,242,816","263,991,379",7,32.29%,150,85242816,263991379
Mexico,"82,470,752","129,163,276",8,63.85%,92,82470752,129163276
Germany,"69,304,405","82,114,224",9,84.40%,36,69304405,82114224
Philippines,"63,003,313","104,918,090",10,60.05%,103,63003313,104918090
United Kingdom,"62,621,016","66,181,585",11,94.62%,18,62621016,66181585
Pakistan,"61,837,331","220,800,300",25,30.68%,184,61837331,220800300
France,"52,308,536","64,979,548",13,80.50%,50,52308536,64979548
Turkey,"52,225,879","80,745,020",14,64.68%,89,52225879,80745020
Iran,"49,038,556","81,162,788",15,60.42%,101,49038556,81162788
South Korea,"48,484,084","50,982,212",16,95.10%,15,48484084,50982212
Vietnam,"47,359,575","95,540,800",17,49.57%,122,47359575,95540800
Egypt,"43,850,141","97,553,151",18,44.95%,132,43850141,97553151
Spain,"39,215,756","46,354,321",19,84.60%,33,39215756,46354321
Thailand,"36,513,941","69,037,513",20,52.89%,117,36513941,69037513
Italy,"36,387,619","59,359,900",21,61.30%,98,36387619,59359900
Canada,"33,950,632","36,624,199",22,92.70%,22,33950632,36624199
Argentina,"33,561,876","44,271,041",23,75.81%,67,33561876,44271041
South Africa,"31,858,027","56,717,156",24,56.17%,111,31858027,56717156
Nigeria,"30,557,175","190,015,955",12,27.51%,161,30557175,190015955
Colombia,"30,548,252","49,065,615",26,62.26%,96,30548252,49065615
Bangladesh,"30,530,435","164,669,751",27,18.02%,180,30530435,164669751
Poland,"29,005,924","38,170,712",28,75.99%,66,29005924,38170712
Saudi Arabia,"27,048,861","32,938,213",29,82.12%,39,27048861,32938213
Malaysia,"25,343,685","31,624,264",30,80.14%,52,25343685,31624264
Ukraine,"25,260,147","44,222,947",31,57.12%,109,25260147,44222947
Morocco,"22,072,765","35,739,580",32,61.76%,97,22072765,35739580
Taiwan,"21,920,626","23,626,456",33,92.78%,21,21920626,23626456
Australia,"21,159,515","24,450,561",34,86.54%,31,21159515,24450561
Venezuela,"20,564,451","31,977,065",35,64.31%,91,20564451,31977065
Algeria,"19,704,622","41,318,142",36,47.69%,130,19704622,41318142
Ethiopia,"19,543,075","104,957,438",37,18.62%,179,19543075,104957438
Iraq,"18,892,351","38,274,618",38,49.36%,123,18892351,38274618
Uzbekistan,"16,692,456","31,910,641",39,52.31%,118,16692456,31910641
Myanmar,"16,374,103","53,370,609",40,30.68%,154,16374103,53370609
Netherlands,"15,877,494","17,035,938",41,93.20%,20,15877494,17035938
Peru,"15,674,241","32,165,485",42,48.73%,128,15674241,32165485
Chile,"14,864,456","18,054,726",43,82.33%,38,14864456,18054726
Kazakhstan,"13,913,699","18,204,499",44,76.43%,61,13913699,18204499
Romania,"12,545,558","19,679,306",45,63.75%,93,12545558,19679306
Sudan,"12,512,639","40,533,330",46,30.87%,153,12512639,40533330
Ghana,"10,922,179","28,833,629",47,37.88%,140,10922179,28833629
Ivory Coast,"10,650,818","24,294,750",48,43.84%,133,10650818,24294750
Uganda,"10,162,807","42,862,958",49,23.71%,168,10162807,42862958
Belgium,"10,021,242","11,429,336",50,87.68%,28,10021242,11429336
Sweden,"9,554,907","9,910,701",51,96.41%,12,9554907,9910701
Ecuador,"9,521,056","16,624,858",52,57.27%,107,9521056,16624858
Tanzania,"9,169,603","57,310,019",53,16.00%,182,9169603,57310019
United Arab Emirates,"8,913,217","9,400,145",54,94.82%,17,8913217,9400145
Kenya,"8,861,485","49,699,862",55,17.83%,181,8861485,49699862
Czech Republic,"8,358,728","10,618,303",56,78.72%,56,8358728,10618303
Switzerland,"7,942,864","8,476,005",57,93.71%,19,7942864,8476005
Greece,"7,799,565","11,159,773",58,69.89%,77,7799565,11159773
Azerbaijan,"7,763,795","9,827,589",59,79.00%,54,7763795,9827589
Austria,"7,681,957","8,735,453",60,87.94%,27,7681957,8735453
